project,label,period,color,T_0.95_mean,T_0.95_ci_lo,T_0.95_ci_hi,T_0.95_n,T_0.99_mean,T_0.99_ci_lo,T_0.99_ci_hi,T_0.99_n,cong_intensity_mean_mean,cong_intensity_mean_ci_lo,cong_intensity_mean_ci_hi,cong_intensity_mean_n,cong_intensity_q95_mean,cong_intensity_q95_ci_lo,cong_intensity_q95_ci_hi,cong_intensity_q95_n,cong_area_total_mean,cong_area_total_ci_lo,cong_area_total_ci_hi,cong_area_total_n,cong_area_top5pct_mean,cong_area_top5pct_ci_lo,cong_area_top5pct_ci_hi,cong_area_top5pct_n,all_time_mean,all_time_ci_lo,all_time_ci_hi,all_time_n,dynamic_field_time_mean,dynamic_field_time_ci_lo,dynamic_field_time_ci_hi,dynamic_field_time_n,soft_risk_mean,soft_risk_ci_lo,soft_risk_ci_hi,soft_risk_n
static-0,Static,,#4C72B0,422.4500000000001,321.587375,524.438125,20,539.865,406.57412500000004,672.775375,20,1.04604185,0.6072197524999999,1.4705269624999997,20,5.53360825,3.26811436875,7.747751324999992,20,13517.9,10224.516249999999,16758.26,20,676.45,511.5475,837.8812499999995,20,17986.917,10858.675662500002,24794.706662499986,20,178.90679500000002,135.5411335,225.38599549999995,20,0.0,0.0,0.0,20
density-10,10 s,10.0,#1B9E77,352.59000000000003,282.78475,430.782875,20,431.975,340.52762500000006,535.3381249999999,20,0.7884046499999998,0.48067537375000013,1.1094141562499997,20,3.7798649500000003,2.38518795,5.270408306249999,20,14157.25,10943.36375,17384.98,20,708.55,547.0612500000001,877.3237499999998,20,100506.49,76718.80262500001,126682.500875,20,85609.47,65921.199,105703.62624999993,20,10062911.8,6079793.651250002,14269754.852499988,20
density-30,30 s,30.0,#66A61E,362.575,291.90575000000007,435.5676249999999,20,439.7499999999999,348.306125,538.8826249999997,20,0.8412817499999997,0.5204639937500002,1.1616579624999996,20,3.9503947999999993,2.4952484187500006,5.390498386249999,20,14173.75,11019.97625,17355.85125,20,709.25,543.4412500000001,872.3112499999999,20,44216.95,31460.481750000003,57291.601375000006,20,29207.195,22528.70075,36848.172125000005,20,10310192.85,6244675.503750001,14701720.309999999,20
density-60,60 s,60.0,#E6AB02,367.595,293.88125,446.878375,20,447.63499999999993,346.46000000000004,556.5528749999997,20,0.8553025000000002,0.51973253625,1.1982250999999997,20,4.0376651,2.593638405,5.56769551125,20,14018.3,10644.3075,17342.4425,20,701.5,537.99,861.90125,20,30000.326500000003,20794.6459125,39449.42246249999,20,14971.369500000004,11544.740087500002,18800.429575000002,20,10405009.7,6124042.965000001,14989317.747499999,20
density-120,120 s,120.0,#D95F02,379.565,301.18575,463.82812499999994,20,468.68500000000006,363.867875,583.2372500000001,20,0.9052804999999999,0.53596929375,1.2789359749999993,20,4.20827285,2.6713669537500007,5.8145037412499985,20,13834.6,10590.658750000002,17147.77625,20,692.45,518.33375,858.5624999999999,20,23191.338500000005,15344.379187500002,31192.438600000005,20,7788.078000000003,5823.061287500001,9754.581899999997,20,10267940.35,6162254.86,14946079.108749997,20
density-180,180 s,180.0,#7570B3,387.65,306.19162499999993,478.17112499999996,20,492.37999999999994,374.386125,622.1807499999998,20,0.9401949500000001,0.5751588700000002,1.3300012887500001,20,4.3778435,2.773928516250001,5.947701032499998,20,13732.45,10189.77125,17302.56375,20,687.1,520.1475,844.8625,20,21214.3405,13946.8075125,28937.250225000003,20,5439.265000000001,4054.5401125000003,6955.126062499999,20,10389925.8,5902025.206250001,15195862.788749998,20
