project,period_s,n_runs,mean_ratio_to_static_path_mean,mean_ratio_to_static_path_ci_lo,mean_ratio_to_static_path_ci_hi,median_ratio_to_static_path_mean,median_ratio_to_static_path_ci_lo,median_ratio_to_static_path_ci_hi,q95_ratio_to_static_path_mean,q95_ratio_to_static_path_ci_lo,q95_ratio_to_static_path_ci_hi,q99_ratio_to_static_path_mean,q99_ratio_to_static_path_ci_lo,q99_ratio_to_static_path_ci_hi,mean_excess_pct_mean,mean_excess_pct_ci_lo,mean_excess_pct_ci_hi,q95_excess_pct_mean,q95_excess_pct_ci_lo,q95_excess_pct_ci_hi,q99_excess_pct_mean,q99_excess_pct_ci_lo,q99_excess_pct_ci_hi,mean_distance_m_mean,mean_distance_m_ci_lo,mean_distance_m_ci_hi,q95_distance_m_mean,q95_distance_m_ci_lo,q95_distance_m_ci_hi,mean_switch_mean,mean_switch_ci_lo,mean_switch_ci_hi,q95_switch_mean,q95_switch_ci_lo,q95_switch_ci_hi,q99_switch_mean,q99_switch_ci_lo,q99_switch_ci_hi,max_switch_mean,max_switch_ci_lo,max_switch_ci_hi,share_switch_ge1_mean,share_switch_ge1_ci_lo,share_switch_ge1_ci_hi,share_switch_ge2_mean,share_switch_ge2_ci_lo,share_switch_ge2_ci_hi,n_completed_mean,n_completed_ci_lo,n_completed_ci_hi,n_ratio_mean,n_ratio_ci_lo,n_ratio_ci_hi
static-0,0,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.270931834078525,58.414583841645175,64.12727982651188,134.72165749999996,128.5787714876731,140.86454351232683,0.024919173825614406,0.01753813132125487,0.032300216329973944,0.05,-0.054649999999999976,0.15464999999999998,0.85,0.6785460400144201,1.0214539599855799,3.55,2.8629246257735463,4.237075374226453,0.02275509848699573,0.016199414258805493,0.029310782715185967,0.00156508281563652,0.0009674667564834238,0.0021626988747896164,13289.3,8691.080018205528,17887.51998179447,12396.4,8107.916389763606,16684.883610236393
density-10,10,20,1.042922241822962,1.0320028988990884,1.0538415847468356,1.030648298393841,1.0246961870076168,1.0366004097800652,1.2047044266346,1.1380777614284647,1.2713310918407354,1.413236879028505,1.2465459189936672,1.5799278390633429,4.2922241822962155,3.2002898899088574,5.384158474683574,20.470442663460027,13.807776142846492,27.13310918407356,41.32368790285052,24.654591899366743,57.9927839063343,64.41690658356742,61.45687933838202,67.37693382875283,146.47985999999997,138.54158192238927,154.41813807761068,0.05001588872013191,0.031214304314946116,0.06881747312531769,0.5,0.25991643450445717,0.7400835654955429,1.2,0.8099103787184554,1.5900896212815445,11.35,-1.2137590193873447,23.913759019387342,0.038916376066530416,0.024198184545167308,0.05363456758789352,0.00791587946820352,0.004941816855023831,0.010889942081383209,13276.65,8683.136000580882,17870.163999419117,12383.75,8099.972093930795,16667.527906069205
density-30,30,20,1.0335126740549843,1.0247531587474197,1.0422721893625488,1.0152681287596161,1.0125944009054682,1.0179418566137641,1.1885203502825232,1.12375446158087,1.2532862389841766,1.3990771111022635,1.242745315248738,1.555408906955789,3.3512674054984215,2.475315874741973,4.227218936254871,18.85203502825233,12.375446158086994,25.328623898417668,39.90771111022637,24.274531524873822,55.54089069557892,63.88775111632439,60.895862558916605,66.87963967373217,146.24717749999996,137.72018274527989,154.77417225472004,0.040463843451793706,0.02599872002446865,0.05492896687911876,0.4,0.16476710756314178,0.6352328924368582,0.7924999999999954,0.5051735295669477,1.0798264704330431,18.95,-6.314948506126754,44.21494850612675,0.03391416828977879,0.021623590002593132,0.04620474657696445,0.0044114638486389655,0.002828631813912956,0.005994295883364975,13276.65,8683.050202128306,17870.249797871693,12383.75,8099.886345958242,16667.613654041757
density-60,60,20,1.0262127349198586,1.0181203591544867,1.0343051106852306,1.006103884424188,1.0049165849575437,1.0072911838908325,1.1757319337481291,1.1134236844513632,1.238040183044895,1.3763821785846804,1.2111885229449655,1.5415758342243953,2.6212734919858685,1.8120359154486771,3.4305110685230598,17.573193374812927,11.34236844513633,23.804018304489524,37.63821785846804,21.11885229449654,54.15758342243954,63.317923854422006,60.316259302883225,66.31958840596079,145.21181249999998,136.8756194965482,153.54800550345175,0.04012968221102915,0.02682290005423143,0.053436464367826876,0.35,0.12097487525784889,0.5790251247421511,0.8095000000000028,0.6257052499070719,0.9932947500929337,12.4,5.248249481273466,19.551750518726536,0.035256497929959926,0.023446861557078445,0.04706613430284141,0.0035963383067026677,0.0023888391071871227,0.004803837506218213,13276.7,8683.124354865573,17870.27564513443,12383.8,8099.960821724421,16667.639178275578
density-120,120,20,1.0221266327291665,1.0139620513801944,1.0302912140781386,1.0020155001533262,1.0012542121789916,1.0027767881276608,1.1620853584186923,1.0966564487941626,1.227514268043222,1.3667008824322537,1.2029278162868522,1.5304739485776553,2.212663272916646,1.3962051380194431,3.0291214078138493,16.208535841869207,9.665644879416242,22.751426804322172,36.67008824322539,20.29278162868523,53.04739485776555,63.01063223452578,59.86333738017136,66.1579270888802,143.94541750000002,134.88393431825403,153.006900681746,0.0400841438977182,0.027343908259011354,0.05282437953642505,0.3,0.07995977760035736,0.5200402223996426,0.85,0.6785460400144201,1.0214539599855799,42.0,0.29450619554200586,83.705493804458,0.03390175957414206,0.023298153908782197,0.044505365239501916,0.0031683914589360944,0.002144277993306758,0.004192504924565431,13276.95,8683.198898800681,17870.70110119932,12384.05,8100.03494405182,16668.06505594818
density-180,180,20,1.0179171011998838,1.010589693289597,1.0252445091101705,1.0007265772889569,1.0003209088670346,1.001132245710879,1.1471497951775245,1.0839703348480745,1.2103292555069745,1.356985024832677,1.1863964645976988,1.527573585067655,1.7917101199883745,1.0589693289596966,2.5244509110170523,14.71497951775244,8.39703348480744,21.03292555069744,35.69850248326769,18.639646459769864,52.75735850676551,62.64065255846911,59.4132328112963,65.86807230564192,142.143555,133.25423550236297,151.032874497637,0.03806258761103444,0.026055299087961836,0.050069876134107044,0.25,0.04208153324971475,0.45791846675028525,0.9,0.7559498607026742,1.0440501392973258,60.7,-1.2067659252669074,122.60676592526691,0.03207667199092865,0.022101242590902508,0.0420521013909548,0.002635446313370212,0.0018137898462534496,0.0034571027804869746,13276.65,8683.041529014845,17870.258470985154,12383.75,8099.877661999618,16667.622338000383
