field,strategy,positive_cells,total_field_sum,mean_all_cells,mean_positive,q95_positive,q99_positive,max,cells_ge_static_q95,cells_ge_static_q99,positive_cells_delta_vs_static_pct,total_field_sum_delta_vs_static_pct,mean_all_cells_delta_vs_static_pct,mean_positive_delta_vs_static_pct,q95_positive_delta_vs_static_pct,q99_positive_delta_vs_static_pct,cells_ge_static_q95_delta_vs_static_pct,cells_ge_static_q99_delta_vs_static_pct
cumulative_congestion_time,Static,77326,92865.88828893375,0.9647000777957881,1.2009658884325294,6.607463063029572,18.869253918929026,31.289698885679243,3867,774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cumulative_congestion_time,Density-60,83203,91971.67276591853,0.955410878063643,1.1053889014328635,5.771607099503269,14.420976424110457,25.64809883469716,3589,241,7.60028968264232,-0.9629106440386954,-0.962910644038688,-7.958343190280831,-12.650179888301283,-23.574209737864628,-7.189035427980346,-68.86304909560724
cumulative_congestion_time,DH-60,84421,91428.74264518735,0.9497708660058521,1.0830094721122394,5.608918757531792,13.955516301602144,26.114711351394654,3498,236,9.175439050254766,-1.5475495579981042,-1.5475495579980956,-9.821795727624181,-15.112370602340375,-26.040974584573156,-9.542280837858804,-69.50904392764858
cumulative_density_load,Static,88412,1665619.0667008618,17.302616416322422,18.839287276623782,95.5790535237193,282.0002415320039,621.5056652110815,4421,885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cumulative_density_load,Density-60,90316,1608998.2269949794,16.71443350572363,17.815206906804768,82.01934563623742,215.91633640146367,489.40690811157225,3770,352,2.1535538162240417,-3.3993871010394257,-3.399387101039414,-5.435876393740842,-14.186903288508548,-23.433988840410418,-14.725175299705947,-60.22598870056497
cumulative_density_load,DH-60,90658,1600160.146261908,16.622622644622165,17.65051232391966,80.64574664497364,209.1276947346805,494.2484921708703,3713,320,2.540379134054201,-3.930005470495123,-3.9300054704951153,-6.310084533713659,-15.624037200828466,-25.841306518545366,-16.01447636281384,-63.84180790960452
