layer,field,strategy,positive_cells,mean_positive,median_positive,q95_positive,q99_positive,max,cells_ge_static_q95,cells_ge_static_q99,static_q95_threshold,static_q99_threshold,mean_positive_delta_vs_static_pct,q95_positive_delta_vs_static_pct,q99_positive_delta_vs_static_pct,cells_ge_static_q95_delta_vs_static_pct,cells_ge_static_q99_delta_vs_static_pct
8,cumulative_congestion_time,Static,96543,1.2544867992401123,0.0562400221824646,7.012386798858643,18.85590362548828,31.28969955444336,4828,966,7.012386798858643,18.85590362548828,0.0,0.0,0.0,0.0,0.0
8,cumulative_congestion_time,Density-60,107574,1.020695686340332,0.09744998812675476,5.342629432678223,13.816039085388184,25.64809799194336,3930,280,7.012386798858643,18.85590362548828,-18.63639482228079,-23.811541121094383,-26.72831087918539,-18.599834299917152,-71.01449275362319
8,cumulative_congestion_time,DH-60,109684,0.9967958927154541,0.10893000662326813,5.188243389129639,13.401700973510742,26.11471176147461,3782,274,7.012386798858643,18.85590362548828,-20.541539909447504,-26.013160170028083,-28.925702847806633,-21.665285832642912,-71.63561076604555
9,cumulative_crowd_density_load,Static,109490,18.615951538085938,1.4152274131774902,96.25282287597656,279.3663635253906,621.5056762695312,5475,1095,96.25282287597656,279.3663635253906,0.0,0.0,0.0,0.0,0.0
9,cumulative_crowd_density_load,Density-60,116165,15.763818740844727,2.4187302589416504,74.11575317382812,205.27879333496094,489.40692138671875,4265,413,96.25282287597656,279.3663635253906,-15.32090793965648,-22.998878412815426,-26.519860607233102,-22.10045662100457,-62.28310502283105
9,cumulative_crowd_density_load,DH-60,117345,15.541830062866211,2.6642236709594727,72.94065856933594,198.87127685546875,494.2485046386719,4192,378,96.25282287597656,279.3663635253906,-16.513372786400172,-24.219720118420586,-28.813449713177786,-23.433789954337904,-65.47945205479452
